t	accent	blue	tile
38.25	3809	0	365644
38.30	3809	0	365644
38.35	3809	0	365644
38.40	3809	0	365644
38.45	3809	0	365644
38.50	3809	0	365644
38.55	3809	0	365644
38.60	3809	0	365644
38.65	3809	0	365644
38.70	3809	0	365644
38.75	3809	0	365644
38.80	3809	0	365644
38.85	3809	0	365644
38.90	3809	0	365644
38.95	3809	0	365644
39.00	3809	0	365644
39.05	3809	0	365644
39.10	3809	0	365644
39.15	3809	0	365644
39.20	3809	0	365644
39.25	3809	0	365644
39.30	3809	0	365644
39.35	3809	0	365644
39.40	3809	0	365644
39.45	3809	0	365644
39.50	3809	0	365644
39.55	3809	0	365644
39.60	3809	0	365644
39.65	3809	0	365644
39.70	3809	0	365644
39.75	3809	0	365644
39.80	3834	0	365649
39.85	3833	0	368331
39.90	3827	0	368343
39.95	3827	0	368429
40.00	3826	0	368430
40.05	3835	0	368430
40.10	3835	0	368430
40.15	3835	0	368430
40.20	3835	0	368430
40.25	3835	0	368430
40.30	3835	0	368430
40.35	3835	0	368430
40.40	3835	0	368430
40.45	3830	0	368430
40.50	3830	0	368430
40.55	3830	0	368430
40.60	3830	0	368430
40.65	3833	0	368430
40.70	3834	0	368430
40.75	3831	0	368430
40.80	3833	0	368430
40.85	3833	0	368430
40.90	3829	0	368430
40.95	3832	0	368430
41.00	3834	0	368430
41.05	3834	0	368430
41.10	3833	0	368430
41.15	3832	0	368430
41.20	3833	0	368430
41.25	3829	0	368430
41.30	3832	0	368430
41.35	3832	0	368430
41.40	3834	0	368430
41.45	3831	0	368430
41.50	3833	0	368430
41.55	3832	0	368430
41.60	3818	0	368428
41.65	3818	0	368428
41.70	3817	0	368428
41.75	3817	0	368428
41.80	3817	0	368428
41.85	3818	0	368428
41.90	3817	0	368428
41.95	3818	0	368428
42.00	3817	0	368428
42.05	3817	0	365648
42.10	3817	0	365648
42.15	3817	0	365648
42.20	3818	0	365645
42.25	3819	0	365645
42.30	3819	0	365645
42.35	3819	0	365645
42.40	3819	0	365645
42.45	3818	0	365645
42.50	3818	0	365645
42.55	3818	0	365645
42.60	3818	0	365645
42.65	3818	0	365645
42.70	3818	0	365645
42.75	3818	0	365645
42.80	3818	0	365645
42.85	3818	0	365645
42.90	3818	0	365645
42.95	3818	0	365645
43.00	3818	0	365645
43.05	3818	0	365645
43.10	3818	0	365645
43.15	3818	0	365645
43.20	3818	0	365645
43.25	3818	0	365645
43.30	3818	0	365645
43.35	3818	0	365645
43.40	3818	0	365645
43.45	3814	0	365645
43.50	3814	0	365645
43.55	3813	0	365645
43.60	3813	0	365645
43.65	3813	0	365645
43.70	3813	0	365645
43.75	3811	0	365644
43.80	3811	0	365644
43.85	3811	0	365644
43.90	3811	0	365644
43.95	3811	0	365644
44.00	3811	0	365644
44.05	3811	0	365644
44.10	3811	0	365644
44.15	3811	0	365644
44.20	3811	0	365644
44.25	3811	0	365644
44.30	3811	0	365644
44.35	3811	0	365644
44.40	3811	0	365644
44.45	3811	0	365644
44.50	3811	0	365644
44.55	3811	0	365644
44.60	3811	0	365644
44.65	3811	0	365644
44.70	3811	0	365644
44.75	3811	0	365644
44.80	3811	0	365644
44.85	3811	0	365644
44.90	3811	0	365644
44.95	3811	0	365644
